飞花逐月特效	PetalsMoon FX
飞道存在时间	proj lifetime
碎屏	screen crack
圣母咏叹受击	MadonnasAria react
飞花逐月本体	PetalsMoon root FX
飞花逐月	PetalsMoon move
轻云出月风静夜	CloudMoonCalm move
无形斩	FormlessSlash move
镜花水月	MirrorFlowerMoon move
圣母咏叹	MadonnasAria move
星屑飞溅	StardustSplash move
狂风绝息斩	TempestSlash move
幻影闪	PhantomFlash move
中子冲击	NeutronImpact move
水平四方斩	HorizontalSlash move
条纹突刺	LinearThrust move
星屑泪光	StardustGleam move
闪光穿刺	FlashThrust move
四重痛楚	QuadPain move
顺刺	ForwardThrust move
闪光突袭	FlashRaid move
星光裂空	StarlightCleave move
星光突袭	StarlightRaid move
格挡反击	ParryCounter move
正妻铁拳	IronFist move
流星冲刺	MeteorRush move
反身后跳	Backflip move
空中流星冲刺	AirMeteorRush move
防御反击	Zero Counter
前闪避	Forward dodge
后闪避	Back dodge
闪避	Evasive dash
しゃがみ	crouch
キャンセル設定	cancel setup
重力	gravity
着陆	landing
开启	enable flag
关闭	disable flag
抓取受击	grab hit spark
尾光	particle trail
尾光粒子	trail sparks
消除	remove helper
残影	afterimage trail
挤压	squeeze clip
时间结束	Round timeout end
胜利 2	Win pose 2
胜利 1	Win pose 1
English（英語）	English (quotes)
Japanese（日本語）	Japanese (quotes)
初始化	Initialize
